replay id;replay title;map;date;team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
85ac70b6-4a16-4ebe-aa6c-0347ca055ff5;2020-02-09.19.38 Kuzon Ranked Standard Loss;;2020-02-09 19:38:36;FaithFazer & Kaczoland & PadS;1073;1;1;8;3;9;0;33.33;1059;150.94;5553;3342;2211;40;184;1152;605;547;8;49;98.64;98.46;379;722;215;1348192;444.67;378.28;111.78;506.34;384.41;44;26.03;256;247.21;687.55;247.21;643.04;291.7;489.29;289.56;155.89;4;5
85ac70b6-4a16-4ebe-aa6c-0347ca055ff5;2020-02-09.19.38 Kuzon Ranked Standard Loss;;2020-02-09 19:38:36;Sneakyb4stard & Kuzon & Chaos;470;0;0;1;9;3;1;0;1337;155.21;7045;5349;1696;63;154;2034;1551;483;17;44;133.26;85.58;953;959;158;1459030;373.64;402.53;161.77;535.37;365.75;36.8;17.84;137;295.79;642.13;295.79;529.93;408;346.94;357.76;233.23;5;4
83b6be75-274f-4209-97f6-c783aa5e1ad4;2020-02-11.16.15 Kuzon Ranked Standard Win;Neo Tokyo (Standard);2020-02-11 16:15:57;Sneakyb4stard & Kuzon & Chaos;1477;5;5;4;8;9;4;62.5;1255;148.24;7795;5788;2007;72;175;1479;829;650;10;58;102.59;116.97;948;1270;190;1676545;485.74;493.76;190.01;657.87;474.76;36.88;19.92;169;288.69;880.8;288.69;727.67;441.82;539.37;362.95;267.17;1;2
83b6be75-274f-4209-97f6-c783aa5e1ad4;2020-02-11.16.15 Kuzon Ranked Standard Win;Neo Tokyo (Standard);2020-02-11 16:15:57;Lord of the Smurfs & Stylerzz & MRK;1266;4;3;2;9;8;5;44.44;923;141.22;5743;4066;1677;50;142;712;242;470;3;33;109.01;190.33;445;989;57;1522173;647.45;425.46;101.45;672.85;458.77;42.74;30.4;241;340.84;833.54;340.84;851;323.37;656.95;347.73;169.69;2;1
aecf6ae5-d166-4b52-aeb7-909c4424cff9;2019-10-16.15.36 Vanoooo Ranked Standard Win;Farmstead (The Upside Down);2019-10-16 15:36:15;Sneakyb4stard & Kuzon & Chaos;1716;3;2;9;8;18;4;37.5;1138;147.79;8599;5859;2740;70;230;1711;875;836;11;58;160.9;114.04;819;1167;216;1964608;643.98;614.69;140.26;800.51;529.98;68.43;25.91;197;441.74;957.18;441.74;963.15;435.77;735.37;427.13;236.4;2;1
aecf6ae5-d166-4b52-aeb7-909c4424cff9;2019-10-16.15.36 Vanoooo Ranked Standard Win;Farmstead (The Upside Down);2019-10-16 15:36:15;mrvn. & largie & Vanoooo;1519;4;3;3;18;8;3;22.22;1098;151.34;8709;6269;2440;76;209;1710;832;878;10;73;128.29;146.4;804;1219;93;2040598;597.23;608.5;189.47;765.31;563.78;66.09;29.03;284;369.78;1025.42;369.78;817.09;578.1;581.16;474.21;339.81;1;2
10759794-0511-4573-82cb-cfbb57e7d88d;2020-01-24.22.42 seffe Ranked Standard Loss;;2020-01-24 22:42:42;jihuuu & Qazior & seffe;927;0;0;7;6;10;1;0;938;157.32;5179;3679;1500;47;136;735;377;358;6;31;91.64;134.43;388;991;221;1416690;547.94;387.57;81.04;638.8;347.24;30.5;32.36;268;308.7;707.83;308.7;710.31;306.23;526.86;324.86;164.82;0;2
10759794-0511-4573-82cb-cfbb57e7d88d;2020-01-24.22.42 seffe Ranked Standard Loss;;2020-01-24 22:42:42;Sneakyb4stard & Kuzon & Chaos;909;1;1;5;10;6;0;10;1090;172.49;6218;4399;1819;55;162;1504;884;620;11;56;101.31;122.7;788;1034;151;1523450;457.08;445.11;120.58;601.03;381.1;40.64;17.21;133;273.03;749.74;273.03;590.7;432.06;414.65;359.35;248.77;2;0
3effcf00-9c2b-4f73-8f99-78fe8a87b78d;2020-02-03.18.29 Kuzon Ranked Standard Win;Champions Field;2020-02-03 18:29:13;Berit beaver & Gib & OneM;986;3;2;2;10;10;6;30;1176;144.7;7102;5292;1810;61;163;1017;624;393;8;35;130.28;104.09;815;822;181;1596297;443.09;461.07;185.67;607.57;434.15;48.11;18.17;195;310.91;778.91;310.91;714.2;375.62;559.22;312.6;218.03;0;2
3effcf00-9c2b-4f73-8f99-78fe8a87b78d;2020-02-03.18.29 Kuzon Ranked Standard Win;Champions Field;2020-02-03 18:29:13;Sneakyb4stard & Kuzon & Chaos;1684;6;4;5;10;10;3;60;1205;144.83;6888;5121;1767;59;160;1036;569;467;7;42;107.01;91.54;452;626;55;1566378;468.28;486.86;143.14;560.58;477.38;60.33;18.29;163;325.45;772.83;325.45;726.41;371.86;522.96;363.24;212.09;2;0
