team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Gib & OneM & Berit beaver;1;0;0.00;986;986;3;3;2;2;2;2;10;10;10;10;6;6;30;1176;144.7;7102;7102;5292;5292;1810;1810;61;61;163;163;1017;1017;624;624;393;393;8;8;35;35;130.28;130.28;104.09;104.09;815;815;822;822;181;181;1596297;1596297;443.09;443.09;461.07;461.07;185.67;185.67;607.57;607.57;434.15;434.15;48.11;48.11;18.17;18.17;0;195;195;778.91;778.91;310.91;310.91;714.2;714.2;375.62;375.62;559.22;559.22;312.6;312.6;218.03;218.03;0;0;2;2
TONY & pA ReKo sAM & whack;1;1;100.00;1264;1264;2;2;1;1;8;8;7;7;11;11;1;1;28.57;1036;136.82;8176;8176;5585;5585;2591;2591;65;65;207;207;1935;1935;1248;1248;687;687;14;14;59;59;212.21;212.21;177.67;177.67;840;840;943;943;149;149;2073944;2073944;732.75;732.75;586.66;586.66;145.44;145.44;796.31;796.31;593.43;593.43;75.08;75.08;34.53;34.53;0;301;301;1040.35;1040.35;424.47;424.47;967.36;967.36;497.48;497.48;746.81;746.81;430.03;430.03;287.99;287.99;3;3;2;2
jihuuu & Qazior & seffe;1;0;0.00;927;927;0;0;0;0;7;7;6;6;10;10;1;1;0;938;157.32;5179;5179;3679;3679;1500;1500;47;47;136;136;735;735;377;377;358;358;6;6;31;31;91.64;91.64;134.43;134.43;388;388;991;991;221;221;1416690;1416690;547.94;547.94;387.57;387.57;81.04;81.04;638.8;638.8;347.24;347.24;30.5;30.5;32.36;32.36;0;268;268;707.83;707.83;308.7;308.7;710.31;710.31;306.23;306.23;526.86;526.86;324.86;324.86;164.82;164.82;0;0;2;2
eikkuu & Meaks & Whiteleeyyy;2;0;0.00;2064;1032;6;3;6;3;4;2;20;10;16;8;8;4;30;983.5;145.02;12039;6019.5;8284;4142;3755;1877.5;102;51;316;158;2055;1027.5;1218;609;837;418.5;16;8;72;36;214.53;107.26;298.48;149.24;1110;555;1780;890;396;198;2958265;1479132.5;1233.91;616.95;829.97;414.98;188.76;94.38;1361.18;680.59;808.08;404.04;83.39;41.69;38.98;19.49;0;341;170.5;1662.17;831.09;590.48;295.24;1510.49;755.24;742.15;371.08;1193.95;596.97;604.12;302.06;454.58;227.29;2;1;0;0
Kuzon & Sneakyb4stard & Chaos;15;10;66.67;16731;1115.4;40;2.67;32;2.13;57;3.8;120;8;116;7.73;32;2.13;33.33;1175;153.39;108179;7211.93;78007;5200.47;30172;2011.47;944;62.93;2657;177.13;23324;1554.93;13847;923.13;9477;631.8;168;11.2;810;54;1914.05;127.6;1655.35;110.36;10264;684.27;15347;1023.13;2702;180.13;24048560;1603237.38;7492.99;499.53;7113.94;474.26;2074.38;138.29;9406.31;627.09;6509.93;434;765.11;51.01;294.43;19.63;0;2341;156.07;11678.92;778.59;5002.42;333.49;10361.82;690.79;6319.5;421.3;7450.7;496.71;5502.99;366.87;3727.59;248.51;28;1.87;21;1.4
SpicyJ & Telamon & SlikMik;1;1;100.00;847;847;3;3;1;1;2;2;5;5;4;4;1;1;60;1018;177.43;5497;5497;3796;3796;1701;1701;49;49;150;150;1269;1269;787;787;482;482;9;9;44;44;52.4;52.4;113.13;113.13;553;553;838;838;42;42;1410174;1410174;456.56;456.56;393.17;393.17;126.82;126.82;579.98;579.98;354.36;354.36;42.19;42.19;24.51;24.51;0;215;215;745.85;745.85;230.68;230.68;561.82;561.82;414.72;414.72;382.81;382.81;376.39;376.39;217.34;217.34;1;1;4;4
MRK & Lord of the Smurfs & Stylerzz;1;0;0.00;1266;1266;4;4;3;3;2;2;9;9;8;8;5;5;44.44;923;141.22;5743;5743;4066;4066;1677;1677;50;50;142;142;712;712;242;242;470;470;3;3;33;33;109.01;109.01;190.33;190.33;445;445;989;989;57;57;1522173;1522173;647.45;647.45;425.46;425.46;101.45;101.45;672.85;672.85;458.77;458.77;42.74;42.74;30.4;30.4;0;241;241;833.54;833.54;340.84;340.84;851;851;323.37;323.37;656.95;656.95;347.73;347.73;169.69;169.69;2;2;1;1
SmaasHi & Hydrese & .;1;0;0.00;895;895;1;1;0;0;5;5;5;5;8;8;2;2;20;1046;154.52;5773;5773;4002;4002;1771;1771;49;49;158;158;1066;1066;696;696;370;370;8;8;31;31;73.37;73.37;120.52;120.52;613;613;951;951;89;89;1446153;1446153;452.97;452.97;431.93;431.93;123.04;123.04;541.13;541.13;417.95;417.95;48.85;48.85;21.74;21.74;0;179;179;654.21;654.21;353.73;353.73;760.02;760.02;247.9;247.9;600.22;600.22;264.26;264.26;143.45;143.45;2;2;0;0
migueleitor15 & ItsZalgo & Lukasito;1;0;0.00;598;598;1;1;0;0;2;2;4;4;6;6;4;4;25;1095;143.1;5240;5240;4116;4116;1124;1124;47;47;102;102;620;620;414;414;206;206;5;5;19;19;111.57;111.57;115.94;115.94;755;755;631;631;90;90;1259785;1259785;395.4;395.4;365.81;365.81;114.01;114.01;473.71;473.71;346.48;346.48;55.03;55.03;17.08;17.08;0;149;149;588.78;588.78;286.44;286.44;612.1;612.1;263.12;263.12;455.7;455.7;280.04;280.04;139.49;139.49;0;0;0;0
Brindle & orientir300 & quint .-;1;0;0.00;602;602;1;1;1;1;1;1;5;5;6;6;2;2;20;1116;144.54;6021;6021;4181;4181;1840;1840;50;50;154;154;1446;1446;817;817;629;629;9;9;45;45;132.19;132.19;134.24;134.24;815;815;888;888;95;95;1509568;1509568;420.79;420.79;426.09;426.09;151.14;151.14;556.94;556.94;379.67;379.67;61.42;61.42;21.1;21.1;0;188;188;701.62;701.62;296.4;296.4;667.46;667.46;330.56;330.56;497.25;497.25;313.09;313.09;187.67;187.67;3;3;3;3
ZupaTr00pa & Spoodermon & ycruP;1;0;0.00;1266;1266;2;2;1;1;7;7;8;8;11;11;3;3;25;995;160.48;7453;7453;5395;5395;2058;2058;69;69;185;185;1685;1685;1108;1108;577;577;13;13;54;54;105.34;105.34;125.12;125.12;819;819;1278;1278;91;91;1920686;1920686;601.75;601.75;589.74;589.74;146.02;146.02;776.05;776.05;496.95;496.95;64.51;64.51;28.31;28.31;0;277;277;905.69;905.69;431.82;431.82;855.14;855.14;482.37;482.37;626.74;626.74;430.01;430.01;280.76;280.76;2;2;2;2
FaithFazer & Kaczoland & PadS;1;1;100.00;1073;1073;1;1;1;1;8;8;3;3;9;9;0;0;33.33;1059;150.94;5553;5553;3342;3342;2211;2211;40;40;184;184;1152;1152;605;605;547;547;8;8;49;49;98.64;98.64;98.46;98.46;379;379;722;722;215;215;1348192;1348192;444.67;444.67;378.28;378.28;111.78;111.78;506.34;506.34;384.41;384.41;44;44;26.03;26.03;0;256;256;687.55;687.55;247.21;247.21;643.04;643.04;291.7;291.7;489.29;489.29;289.56;289.56;155.89;155.89;4;4;5;5
RonnDon & Quazys- & ThedridriX;1;0;0.00;763;763;2;2;1;1;3;3;6;6;8;8;3;3;33.33;1065;155.54;6475;6475;4609;4609;1866;1866;55;55;164;164;1309;1309;786;786;523;523;9;9;46;46;101.74;101.74;100.4;100.4;750;750;880;880;120;120;1514229;1514229;482.67;482.67;399.07;399.07;165.51;165.51;567.44;567.44;434.46;434.46;45.37;45.37;17.24;17.24;0;183;183;757.14;757.14;290.12;290.12;717.34;717.34;329.92;329.92;550.05;550.05;295.96;295.96;201.27;201.27;0;0;3;3
mrvn. & largie & Vanoooo;1;1;100.00;1519;1519;4;4;3;3;3;3;18;18;8;8;3;3;22.22;1098;151.34;8709;8709;6269;6269;2440;2440;76;76;209;209;1710;1710;832;832;878;878;10;10;73;73;128.29;128.29;146.4;146.4;804;804;1219;1219;93;93;2040598;2040598;597.23;597.23;608.5;608.5;189.47;189.47;765.31;765.31;563.78;563.78;66.09;66.09;29.03;29.03;0;284;284;1025.42;1025.42;369.78;369.78;817.09;817.09;578.1;578.1;581.16;581.16;474.21;474.21;339.81;339.81;1;1;2;2
"Smurf ""! & XD & Mausel Strausel";1;1;100.00;773;773;2;2;0;0;1;1;10;10;5;5;1;1;20;1172;147.83;7143;7143;4982;4982;2161;2161;63;63;179;179;1976;1976;1208;1208;768;768;16;16;62;62;131.73;131.73;158.05;158.05;933;933;1344;1344;392;392;1523516;1523516;533.99;533.99;428.52;428.52;119.31;119.31;655.12;655.12;377.69;377.69;49.01;49.01;22.08;22.08;0;197;197;784.21;784.21;297.61;297.61;588.05;588.05;493.77;493.77;412.28;412.28;350.81;350.81;318.74;318.74;1;1;2;2
